team,year,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost
POR,1984,3708,7374,2002,2667,1202,2298,3500,2225,1957,821,1481,516,51,0,9469,3697,7494,1737,2269,1268,2336,3604,2235,2160,726,1607,459,59,0,9190,106.72039,42,40
SAS,1984,3698,7202,1961,2571,1127,2470,3597,2316,2180,757,1542,443,55,0,9412,3644,7348,1977,2548,1136,2265,3401,2283,2154,749,1489,472,72,0,9337,106.19168,41,41
SEA,1984,3277,6910,1777,2305,1019,2287,3306,2185,1974,649,1493,343,45,0,8376,3520,7142,1703,2212,1113,2379,3492,2220,2020,732,1383,458,79,0,8822,101.43594,31,51
UTA,1984,3478,7302,1878,2434,1081,2554,3635,2143,1961,712,1575,697,103,0,8937,3532,7604,1810,2375,1360,2645,4005,2069,2076,806,1606,443,72,0,8946,107.34967,41,41
WA1,1984,3534,7383,1478,1989,1012,2395,3407,2088,1869,709,1282,393,109,0,8655,3494,7179,1623,2172,1119,2673,3792,1988,1833,630,1467,397,66,0,8677,102.81005,40,42
ATL,1985,3447,7029,1979,2704,1249,2405,3654,2025,2170,736,1483,434,33,0,8906,3360,7074,1905,2508,1202,2329,3531,1945,2129,697,1494,371,87,0,8712,102.27481,50,32
BOS,1985,3718,7312,1785,2248,1054,2753,3807,2387,1756,641,1360,511,138,0,9359,3444,7476,1617,2162,1089,2317,3406,1924,1966,725,1258,341,82,0,8587,103.97385,67,15
CHI,1985,3476,7227,1922,2499,1280,2278,3558,2006,2166,609,1436,400,88,0,8962,3601,7138,2002,2627,1104,2362,3466,2170,2002,664,1298,491,70,0,9274,102.56589,30,52
CLE,1985,3478,7239,1748,2325,1086,2455,3541,2064,2267,627,1411,436,132,0,8836,3435,7239,2115,2758,1131,2494,3625,2122,1945,711,1331,364,86,0,9071,104.19215,29,53
DAL,1985,3631,7254,2050,2643,1059,2454,3513,2108,1733,605,1289,369,141,0,9453,3864,7689,1545,2049,1219,2469,3688,2381,2196,617,1279,423,90,0,9363,104.54245,44,38
DEN,1985,3705,7868,1929,2416,1223,2317,3540,2140,2164,826,1336,421,71,0,9410,3638,7404,1967,2693,1295,2732,4027,2106,2117,639,1741,484,60,0,9303,109.26556,47,35
DET,1985,3754,7750,1800,2300,1276,2461,3737,2319,2101,738,1343,340,55,0,9363,3620,7365,1956,2589,1180,2538,3718,2083,1977,662,1490,500,71,0,9267,106.63167,46,36
GSW,1985,3650,7567,1912,2517,1271,2344,3615,2018,2032,751,1400,354,87,0,9299,3863,7432,1791,2401,1170,2519,3689,2325,2069,692,1487,442,65,0,9582,106.42473,30,52
HOU,1985,3759,7671,1776,2434,1316,2434,3750,2318,1991,745,1374,551,85,0,9379,3638,7402,1802,2406,1190,2389,3579,2196,1977,683,1464,386,87,0,9165,105.97556,51,31
IND,1985,3441,7150,1614,2183,1138,2613,3751,2159,2135,659,1515,381,23,0,8519,3372,7123,1975,2571,1050,2479,3529,2057,1909,745,1315,445,73,0,8792,102.78539,26,56
LAC,1985,3388,7165,2067,2683,1159,2258,3417,1968,1931,694,1506,501,64,0,8907,3849,7588,1704,2280,1268,2458,3726,2469,2113,760,1396,457,73,0,9475,105.23289,32,50
LAL,1985,3834,7343,1812,2329,1101,2555,3656,2433,2031,693,1467,419,138,0,9618,3577,7450,1778,2369,1104,2226,3330,2235,1992,792,1330,359,51,0,8983,105.47706,62,20
MIL,1985,3601,7310,2063,2701,1189,2420,3609,2158,2210,805,1369,460,125,0,9390,3286,7043,1980,2674,1169,2325,3494,1952,2139,633,1631,397,97,0,8649,104.9203,57,25
NJN,1985,3548,7301,1810,2396,1183,2483,3666,2128,2129,749,1575,345,43,0,8949,3504,7124,2008,2622,1036,2369,3405,2019,2002,783,1523,390,96,0,9112,105.83848,39,43
NYK,1985,3239,7034,1534,2237,1081,2170,3251,1877,2213,714,1438,308,82,0,8094,3192,6672,2102,2744,1166,2587,3753,2007,2018,701,1629,444,68,0,8554,101.03801,23,59
PHI,1985,3435,7058,2130,2810,1326,2378,3704,2017,1798,862,1595,490,51,0,9051,3615,7328,1546,2041,1189,2228,3417,2255,2187,802,1520,469,82,0,8858,103.47245,54,28
PHO,1985,3518,6993,1949,2683,1034,2449,3483,2272,2260,773,1763,379,38,0,9023,3569,7307,2041,2692,1137,2265,3402,2149,2216,841,1515,466,89,0,9268,107.41035,32,50
POR,1985,3610,7281,2142,2799,1153,2316,3469,2180,2205,859,1529,356,74,0,9436,3637,7249,1992,2638,1179,2362,3541,2254,2262,760,1645,426,83,0,9349,107.36369,40,42
SAC,1985,3538,7220,1818,2338,1135,2377,3512,2304,2134,602,1533,388,30,0,8924,3566,7225,1971,2609,1142,2339,3481,2118,2083,751,1409,478,73,0,9176,104.47717,37,45
SAS,1985,3596,7104,1882,2523,1069,2413,3482,2260,2115,800,1624,390,46,0,9120,3629,7365,1916,2491,1157,2304,3461,2269,2108,800,1519,453,98,0,9272,106.32343,35,47
SEA,1985,3335,7059,1815,2331,1145,2256,3401,1977,2168,745,1435,295,79,0,8564,3301,6774,1913,2491,1027,2308,3335,2038,2008,654,1467,406,57,0,8572,100.83881,31,51
UTA,1985,3453,7083,1930,2694,1068,2479,3547,2199,2038,717,1518,666,35,0,8871,3470,7339,1896,2483,1208,2510,3718,1977,2221,752,1531,464,65,0,8901,105.60253,42,40
WA1,1985,3311,7148,1704,2286,1066,2432,3498,1748,1796,626,1346,716,116,0,8442,3435,7360,1649,2181,1249,2591,3840,2014,1907,712,1373,454,71,0,8590,102.00405,39,43
ATL,1986,3435,7141,2019,2661,1350,2478,3828,2077,2152,700,1279,511,135,0,9024,3158,6998,1987,2598,1196,2277,3473,1917,2034,619,1314,385,128,0,8431,99.722397,57,25
BOS,1986,3645,7051,1740,2153,933,2585,3518,2421,1710,561,1300,526,207,0,9237,3470,7500,1628,2148,1237,2287,3524,2060,1911,722,1156,338,124,0,8692,101.10933,59,23
CHI,1986,3382,7155,1754,2254,1248,2400,3648,2143,1922,677,1257,438,78,0,8596,3337,6910,1734,2255,1027,2317,3344,2028,1844,583,1269,492,115,0,8523,98.513641,40,42
CLE,1986,3349,7122,1779,2554,1257,2420,3677,1912,1853,672,1619,559,81,0,8558,3556,7441,1664,2209,1254,2396,3650,2056,2076,810,1398,479,95,0,8871,103.74007,31,51
DAL,1986,3594,7373,2148,2717,1219,2494,3713,2017,1873,688,1205,424,231,0,9567,3586,7503,1750,2293,1254,2386,3640,2304,2136,571,1332,421,128,0,9050,103.61726,55,27
DEN,1986,3744,7951,1975,2568,1294,2368,3662,2317,2184,754,1216,421,106,0,9569,3636,7343,2255,2901,1166,2720,3886,2189,2145,558,1564,452,113,0,9640,108.91138,37,45
DET,1986,3544,7237,1991,2602,1245,2649,3894,2021,2078,643,1417,436,39,0,9118,3376,7307,1951,2608,1143,2339,3482,2029,2067,670,1294,472,133,0,8836,103.70792,52,30
GSW,1986,3551,7412,1970,2526,1193,2351,3544,2083,2138,715,1354,321,116,0,9188,3615,7339,1995,2665,1249,2481,3730,2174,2052,688,1412,450,155,0,9380,104.91451,42,40
HOU,1986,3465,7262,1746,2355,1190,2481,3671,2227,1973,654,1384,555,89,0,8765,3348,7225,1887,2422,1167,2364,3531,2126,1922,721,1366,368,100,0,8683,102.63503,42,40
IND,1986,3454,7324,1696,2170,1132,2464,3596,2170,2097,697,1276,311,94,0,8698,3344,6969,1960,2584,1117,2584,3701,2019,1852,660,1416,472,103,0,8751,101.70355,41,41
LAC,1986,3311,7332,1866,2515,1231,2137,3368,1971,2004,751,1493,432,78,0,8566,3759,7254,1875,2515,1187,2643,3830,2416,2021,806,1533,534,110,0,9503,105.20557,12,70
LAL,1986,3740,7245,2012,2550,1127,2515,3642,2428,1853,728,1358,482,164,0,9656,3520,7531,1731,2265,1280,2174,3454,2212,2004,721,1370,404,122,0,8893,104.04758,65,17
MIL,1986,3457,7282,1953,2549,1119,2322,3441,2044,2180,845,1260,393,185,0,9052,3247,6906,2117,2796,1191,2477,3668,2014,2024,659,1551,460,120,0,8731,102.99113,50,32
NJN,1986,3374,7083,2000,2607,1169,2409,3578,1991,2353,643,1617,397,145,0,8893,3418,7125,2353,3018,1129,2352,3481,1958,2126,814,1357,566,118,0,9307,104.91426,24,58
NYK,1986,3329,7023,1725,2362,1108,2162,3270,1941,2028,704,1420,396,125,0,8508,3500,7142,1928,2534,1331,2448,3779,2152,1950,761,1417,400,94,0,9022,101.03559,24,58
PHI,1986,3335,6792,1971,2617,1178,2327,3505,1943,1774,768,1519,540,88,0,8729,3537,7204,1552,2049,1214,2202,3416,2202,1982,813,1372,446,119,0,8745,100.01299,45,37
PHO,1986,3575,7190,1900,2499,1113,2366,3479,2354,2047,703,1498,397,61,0,9111,3623,7336,1942,2570,1235,2355,3590,2246,2034,799,1428,435,123,0,9311,104.76534,36,46
POR,1986,3650,7249,2269,2928,1180,2413,3593,2359,2082,767,1546,387,98,0,9667,3649,7523,1996,2589,1208,2279,3487,2189,2228,735,1504,473,116,0,9410,107.95115,49,33
SAC,1986,3522,7413,1974,2479,1282,2441,3723,2185,2007,513,1403,397,77,0,9095,3656,7469,1922,2500,1160,2355,3515,2154,2068,707,1210,487,125,0,9359,104.21777,29,53
SAS,1986,3532,7456,1701,2292,1285,2347,3632,2220,1930,786,1406,325,117,0,8882,3704,7310,1786,2364,1100,2461,3561,2375,1844,699,1417,463,106,0,9300,104.27145,28,54
SEA,1986,3593,7451,1948,2571,1373,2395,3768,2184,2224,705,1509,450,191,0,9325,3514,7329,2166,2819,1236,2278,3514,2023,2027,731,1342,409,93,0,9287,105.12337,39,43
UTA,1986,3485,7514,1735,2389,1194,2456,3650,2240,2040,835,1403,628,139,0,8844,3347,7338,1974,2564,1310,2637,3947,2011,1992,718,1579,457,143,0,8811,105.82276,44,38
WA1,1986,3356,7397,1935,2531,1305,2315,3620,1750,1775,755,1301,685,43,0,8690,3522,7453,1654,2183,1334,2483,3817,2144,1938,699,1439,548,104,0,8802,102.8966,42,40
ATL,1987,3443,7102,1873,2441,1228,2379,3607,2062,2050,635,1225,537,85,0,8844,3243,6885,1927,2480,1156,2353,3509,1976,2008,640,1322,353,136,0,8549,98.605988,50,32
BOS,1987,3599,6905,1846,2300,930,2440,3370,2448,1804,620,1304,415,271,0,9315,3497,7260,1724,2249,1122,2194,3316,2061,1989,734,1176,346,110,0,8828,100.29414,57,25
CHI,1987,3434,7015,1685,2221,1170,2459,3629,2149,1849,712,1263,475,56,0,8609,3276,6967,1670,2205,1023,2268,3291,2079,1880,597,1244,415,108,0,8330,98.172043,50,32
CLE,1987,3313,6755,1813,2438,1015,2289,3304,2070,1836,733,1439,526,127,0,8566,3383,7101,1611,2044,1159,2255,3414,1989,2021,692,1439,449,127,0,8504,99.916527,42,40
DAL,1987,3413,7191,1980,2510,1341,2495,3836,1984,1734,645,1257,446,154,0,8960,3468,7385,1499,1957,1200,2233,3433,2240,1997,612,1228,436,167,0,8602,99.634888,53,29
DEN,1987,3770,7961,1841,2289,1163,2442,3605,2300,1982,832,1186,401,192,0,9573,3608,7356,1910,2508,1179,2748,3927,2171,1989,621,1606,510,113,0,9239,108.04906,54,28
DET,1987,3461,7018,1977,2612,1181,2482,3663,2011,1957,588,1348,394,58,0,8957,3334,7134,1751,2298,1144,2276,3420,1964,2164,649,1328,406,114,0,8533,100.7102,54,28
GSW,1987,3463,7404,1754,2204,1140,2252,3392,2005,2155,741,1395,283,91,0,8771,3627,7244,2047,2700,1209,2509,3718,2271,1811,747,1413,432,152,0,9453,104.3447,20,62
HOU,1987,3465,7354,1936,2483,1239,2530,3769,1936,1865,712,1367,502,69,0,8935,3454,7420,1805,2352,1261,2506,3767,1951,2012,737,1405,365,108,0,8821,103.79253,46,36
IND,1987,3436,7154,1546,1982,1078,2457,3535,1977,2038,619,1318,345,163,0,8581,3335,7060,1858,2446,1160,2500,3660,1933,1859,700,1269,407,118,0,8646,99.791054,38,44
LAC,1987,3190,7194,1644,2305,1191,2350,3541,1885,1908,721,1534,520,79,0,8103,3513,7360,1799,2309,1241,2666,3907,2300,1912,842,1452,483,124,0,8949,103.57955,17,65
LAL,1987,3576,7078,1956,2480,1073,2491,3564,2347,1715,672,1318,404,142,0,9250,3551,7467,1538,2020,1175,2249,3424,2200,1940,732,1246,390,131,0,8771,101.78358,62,20
MIL,1987,3366,7079,1832,2364,1117,2335,3452,2194,1989,671,1275,380,133,0,8697,3344,7063,1832,2410,1172,2400,3572,2135,1952,621,1346,449,133,0,8653,100.17326,42,40
NJN,1987,3208,6857,1682,2308,1075,2262,3337,1795,2042,727,1503,385,137,0,8235,3437,6918,1895,2419,1034,2461,3495,1993,1942,809,1433,522,131,0,8900,100.82188,19,63
NYK,1987,3363,7232,1750,2306,1286,2194,3480,2012,2361,789,1518,445,179,0,8655,3202,6710,2177,2806,1155,2284,3439,2005,1969,705,1631,447,114,0,8695,102.13581,38,44
PHI,1987,3214,6785,2087,2731,1219,2307,3526,1897,1866,672,1433,465,152,0,8667,3501,7063,1640,2163,1109,2225,3334,2217,2118,718,1280,441,143,0,8785,99.03582,36,46
PHO,1987,3551,7302,1681,2200,1113,2379,3492,2332,2045,675,1413,353,118,0,8901,3609,7248,1922,2506,1104,2416,3520,2225,1901,710,1296,441,128,0,9268,103.42531,28,54
POR,1987,3661,7460,2079,2701,1251,2491,3742,2307,2091,726,1351,347,117,0,9518,3492,7341,2022,2632,1153,2400,3553,2154,2135,648,1443,376,141,0,9147,105.9932,53,29
SAC,1987,3458,7337,1795,2324,1232,2731,3693,2116,1895,582,1457,493,144,0,8855,3718,7465,1771,2326,1153,2424,3577,2176,1951,784,1195,533,120,0,9327,103.43958,24,58
SAS,1987,3706,7559,1769,2412,1184,2335,3519,2344,1991,739,1418,468,133,0,9314,3851,7678,1855,2390,1292,2513,3805,2470,1969,690,1427,537,157,0,9714,107.0893,31,51
SEA,1987,3544,7443,1826,2442,1313,2314,3627,2146,2380,775,1376,447,221,0,9135,3298,6798,2240,2992,1128,2306,3434,1964,1963,606,1533,423,130,0,8966,103.34868,44,38
UTA,1987,3484,7092,1802,2404,1066,2553,3619,2407,1986,771,1481,627,129,0,8899,3273,7283,1905,2475,1277,2444,3721,1991,2013,771,1467,472,146,0,8597,103.51065,47,35
WA1,1987,3355,7164,1914,2476,1229,2297,3526,1875,1922,698,1384,502,29,0,8653,3459,7235,1670,2246,1228,2724,3592,2134,1966,690,1384,527,128,0,8716,101.46132,38,44
ATL,1988,3412,7230,2168,2709,1372,2316,3688,1990,1880,817,1310,474,110,0,9102,3363,7124,1826,2329,1261,2325,3586,2037,2109,687,1487,348,147,0,8699,101.14124,52,30
BOS,1988,3520,7143,1840,2349,1179,2442,3621,2189,1876,639,1336,418,78,0,8958,3475,7183,1780,2294,1048,2222,3270,2124,1950,762,1191,387,133,0,8863,100.74356,42,40
CHA,1988,3426,7430,1580,2060,1138,2250,3338,2323,2068,705,1318,264,134,0,8566,3555,7113,2040,2629,1191,2621,3812,2061,1791,710,1425,441,115,0,9265,102.86638,20,62
CHI,1988,3448,6968,1656,2106,1018,2453,3471,2213,1855,722,1327,376,174,0,8726,3361,7098,1693,2190,1078,2300,3378,2099,1781,686,1255,348,193,0,8608,99.37355,47,35
CLE,1988,3466,6904,1821,2438,1033,2475,3508,2260,1592,791,1323,586,170,0,8923,3385,7346,1358,1748,1214,2283,3497,2043,1970,685,1429,363,172,0,8300,100.30792,57,25
DAL,1988,3244,6917,1785,2263,1048,2397,3445,1867,1739,579,1233,476,211,0,8484,3422,7304,1573,2090,1231,2500,3731,2133,1869,660,1175,386,166,0,8583,98.304283,38,44
DEN,1988,3813,8140,1821,2314,1206,2513,3719,2282,2088,811,1225,436,228,0,9675,3701,7484,1977,2683,1136,2864,4000,2136,2001,665,1597,485,157,0,9536,110.61767,44,38
DET,1988,3395,6879,1830,2379,1154,2546,3700,2027,1939,522,1336,406,120,0,8740,3140,7022,1826,2325,1131,2188,3319,1855,2088,646,1225,341,158,0,8264,98.192108,63,19
GSW,1988,3730,7977,1904,2384,1323,2561,3884,2009,1946,831,1488,643,194,0,9558,3693,8000,1916,2501,1437,2639,4076,2215,1935,861,1554,485,281,0,9583,111.25662,43,39
HOU,1988,3412,7196,1909,2527,1211,2554,3765,2016,2026,789,1569,501,164,0,8897,3413,7290,1806,2372,1145,2428,3573,2015,2013,800,1455,439,187,0,8819,104.61546,45,37
IND,1988,3385,6945,1795,2275,1065,2497,3562,2012,2105,563,1547,418,202,0,8767,3453,7400,2036,2606,1288,2312,3600,2034,2029,836,1206,389,167,0,9109,102.09567,28,54
LAC,1988,3526,7428,1606,2220,1156,2384,3540,2208,1937,815,1666,530,54,0,8712,3747,7738,1834,2400,1342,2550,3892,2384,1882,933,1440,551,197,0,9525,107.62067,21,61
LAL,1988,3584,7143,2011,2508,1094,2612,3706,2282,1672,724,1344,421,227,0,9406,3541,7540,1542,2051,1178,2222,3400,2157,1941,752,1263,432,194,0,8818,102.88935,57,25
MIA,1988,3221,7116,1477,2103,1309,2211,3520,1958,2124,744,1728,408,97,0,8016,3384,6928,2021,2613,1188,2366,3554,2062,1830,926,1543,553,148,0,8937,102.09809,15,67
MIL,1988,3399,7167,1955,2382,1133,2272,3405,2071,1953,821,1305,323,179,0,8932,3301,6901,1838,2369,1094,2335,3429,2109,1935,707,1522,425,196,0,8636,101.2846,49,33
NJN,1988,3333,7226,1653,2260,1204,2419,3623,1793,1966,773,1449,431,187,0,8506,3560,7162,1749,2286,1030,2476,3506,2134,1834,744,1376,485,158,0,9027,102.61907,26,56
NYK,1988,3701,7611,1779,2366,1322,2265,3587,2083,2053,900,1572,446,386,0,9567,3636,7358,1834,2390,1213,2326,3539,2292,1898,778,1688,433,152,0,9258,107.49883,52,30
PHI,1988,3500,7201,1970,2504,1143,2356,3499,2110,1721,689,1214,354,204,0,9174,3658,7296,1565,2023,1149,2412,3561,2281,1984,640,1269,445,170,0,9051,100.8098,46,36
PHO,1988,3754,7545,2051,2594,1095,2619,3714,2280,1933,693,1279,416,168,0,9727,3589,7736,1737,2308,1252,2458,3710,2166,2057,625,1368,427,181,0,9096,107.20413,55,27
POR,1988,3695,7795,1789,2416,1384,2381,3765,2212,2026,828,1435,388,216,0,9395,3572,7322,1933,2504,1151,2391,3542,2073,1960,738,1569,358,198,0,9275,107.28222,39,43
SAC,1988,3362,7351,1620,2104,1141,2454,3595,1970,1877,624,1370,409,307,0,8651,3589,7420,1747,2301,1171,2604,3775,2107,1821,759,1284,442,181,0,9106,103.05398,27,55
SAS,1988,3469,7409,1651,2367,1295,2181,3476,2037,2153,961,1712,423,63,0,8652,3486,7148,2105,2714,1256,2462,3718,2062,1938,915,1728,545,172,0,9249,106.86423,21,61
SEA,1988,3564,7478,1775,2379,1397,2238,3635,2083,2027,864,1403,494,293,0,9196,3437,7067,1915,2489,1188,2252,3440,1958,1881,670,1553,413,169,0,8958,103.0946,47,35
UTA,1988,3182,6595,2110,2742,1050,2607,3657,2108,1894,720,1532,583,114,0,8588,3113,7170,1765,2342,1220,2233,3453,1812,2086,779,1329,505,185,0,8176,100.28447,51,31
WA1,1988,3519,7591,1789,2318,1254,2354,3608,2048,2054,694,1291,325,52,0,8879,3486,7235,1929,2510,1132,2538,3670,2082,1921,655,1381,523,155,0,9056,104.17281,40,42
ATL,1989,3417,7019,1943,2544,1273,2187,3460,1820,1871,717,1270,353,124,0,8901,3438,6935,1760,2279,1151,2236,3387,2144,1961,672,1294,389,181,0,8817,98.006927,41,41
BOS,1989,3563,7148,1791,2153,1066,2707,3773,2423,1717,539,1256,455,106,0,9023,3438,7383,1648,2133,1046,2318,3364,2078,1845,736,1003,356,172,0,8696,100.10847,52,30
CHA,1989,3270,7183,1487,1967,962,2211,3173,2080,1889,778,1226,262,205,0,8232,3438,6922,1865,2380,1063,2723,3786,2066,1754,638,1376,384,132,0,8873,100.29487,19,63
CHI,1989,3531,7090,1665,2140,1075,2279,3354,2172,1906,814,1247,388,250,0,8977,3361,6819,1784,2392,1068,2296,3364,2110,1742,665,1411,383,204,0,8710,99.227531,55,27
CLE,1989,3214,6977,1637,2201,1128,2380,3508,2106,1666,645,1243,512,346,0,8411,3418,7135,1444,1898,1134,2451,3585,2137,1893,680,1294,379,156,0,8436,97.852448,42,40
DAL,1989,3246,6831,1735,2261,1042,2419,3461,1776,1733,664,1228,398,157,0,8384,3288,7013,1627,2161,1142,2398,3540,1961,1832,649,1236,388,175,0,8378,97.121872,47,35
DEN,1989,3716,8015,1737,2201,1169,2532,3701,2275,2047,814,1136,329,228,0,9397,3589,7334,1939,2517,1021,2846,3867,2073,1911,613,1514,462,164,0,9281,108.09281,43,39
DET,1989,3333,6980,1713,2252,1185,2458,3643,1996,1961,512,1233,418,177,0,8556,3043,6809,1785,2342,1040,2281,3321,1764,2072,606,1248,304,186,0,8057,97.101807,59,23
GSW,1989,3489,7208,2313,2858,915,2385,3300,1978,2010,756,1415,488,243,0,9534,3766,7885,1998,2633,1495,2594,4089,2331,2219,817,1422,430,261,0,9791,108.40177,37,45
HOU,1989,3483,7250,1633,2267,1217,2638,3855,2194,1934,809,1513,551,153,0,8752,3399,7322,1671,2256,1175,2460,3635,2010,1819,790,1428,392,163,0,8632,103.41612,41,41
IND,1989,3381,6807,1906,2335,940,2388,3328,2023,1972,552,1342,350,294,0,8962,3486,7225,1804,2395,1173,2297,3470,1945,2021,716,1189,321,173,0,8949,99.911209,42,40
LAC,1989,3319,6853,1815,2458,1056,2362,3418,1978,1859,782,1547,507,56,0,8509,3432,7207,1737,2251,1149,2367,3516,2092,1950,828,1364,429,186,0,8787,101.7652,30,52
LAL,1989,3434,7010,1902,2417,1097,2460,3557,2232,1737,655,1226,445,309,0,9079,3382,7247,1584,2111,1131,2243,3374,2009,1909,669,1200,426,175,0,8523,99.404251,63,19
MIA,1989,3383,7345,1393,2028,1242,2313,3555,1957,2123,736,1557,388,88,0,8247,3418,7010,2050,2716,1125,2467,3592,2076,1781,860,1473,477,158,0,9044,103.38131,18,64
MIL,1989,3380,7146,1722,2273,1108,2246,3354,2046,2086,826,1315,326,209,0,8691,3292,6871,1990,2570,1158,2405,3563,2023,1879,685,1506,444,181,0,8755,100.94905,44,38
MIN,1989,3067,6876,1596,2137,1196,2053,3249,1844,1901,789,1197,344,73,0,7803,3081,6391,1859,2420,1050,2322,3372,1880,1748,578,1366,489,129,0,8150,94.217224,22,60
NJN,1989,3157,7415,1754,2350,1363,2324,3687,1475,1952,774,1360,481,140,0,8208,3403,7020,1906,2491,1144,2590,3734,1871,1886,768,1419,478,141,0,8853,101.75964,17,65
NYK,1989,3434,7089,1775,2349,1187,2426,3613,2140,1828,714,1412,492,236,0,8879,3497,7430,1598,2100,1249,2285,3534,2126,1869,719,1287,418,171,0,8763,101.17049,45,37
ORL,1989,3457,7525,2060,2725,1304,2465,3769,1993,1975,617,1407,294,116,0,9090,3864,7757,1897,2502,1173,2569,3742,2333,2060,734,1216,556,196,0,9821,107.1437,18,64
PHI,1989,3437,7028,1976,2509,1111,2406,3517,1932,1697,687,1209,365,189,0,9039,3417,7117,1584,2054,1113,2356,3469,2155,1945,636,1234,380,212,0,8630,98.947342,53,29
PHO,1989,3544,7139,2159,2716,1053,2651,3704,2109,1825,668,1275,501,176,0,9423,3528,7588,1585,2163,1202,2335,3537,2125,2151,677,1254,395,200,0,8841,103.63757,54,28
POR,1989,3572,7547,2031,2734,1355,2552,3907,2085,2048,749,1356,364,190,0,9365,3351,7227,1917,2500,1055,2357,3412,2026,2086,667,1489,432,228,0,8847,105.83872,59,23
SAC,1989,3305,7056,1515,1964,952,2363,3315,2052,1863,546,1239,392,216,0,8341,3384,7158,1828,2324,1146,2531,3677,2022,1740,704,1168,391,160,0,8756,99.17701,23,59
SAS,1989,3388,6997,1888,2535,1163,2474,3637,2037,1854,799,1399,554,54,0,8718,3269,7090,1663,2169,1125,2241,3366,1967,1919,760,1420,416,231,0,8432,100.85742,56,26
SEA,1989,3466,7243,1606,2167,1323,2255,3578,1874,2064,701,1336,335,231,0,8769,3257,6704,1992,2533,1007,2204,3211,1862,1796,634,1303,406,178,0,8684,98.658936,41,41
UTA,1989,3330,6593,1874,2484,953,2501,3454,2212,2031,677,1410,491,226,0,8760,3164,6949,1865,2452,1100,2210,3310,1885,1910,736,1241,452,174,0,8367,98.585442,55,27
WA1,1989,3598,7581,1599,2093,1198,2450,3648,2214,1929,561,1201,424,37,0,8832,3511,7403,1845,2376,1198,2503,3701,1952,1780,644,1200,430,142,0,9009,102.47475,31,51
ATL,1990,3349,7223,2034,2544,1235,2420,3655,1864,1768,729,1231,374,271,0,9003,3568,7219,1587,2069,1080,2499,3579,2320,2034,688,1291,361,217,0,8940,100.80279,43,39
BOS,1990,3695,7214,1646,1997,1088,2697,3785,2160,1695,672,1320,565,109,0,9145,3419,7559,1639,2084,1192,2204,3396,2052,1660,738,1127,381,191,0,8668,101.1468,56,26
CHA,1990,3286,7033,1725,2214,1027,2200,3227,2019,1946,759,1290,304,131,0,8428,3408,6915,1884,2441,1151,2504,3665,2144,1841,675,1406,480,158,0,8858,99.808464,26,56
CHI,1990,3632,7125,1605,2111,1148,2342,3490,2212,1751,822,1184,438,155,0,9024,3267,6884,1554,2017,1062,2162,3224,2016,1826,633,1402,348,190,0,8278,97.91748,61,21
CLE,1990,3259,6857,1665,2176,1011,2329,3340,2240,1672,643,1281,450,160,0,8343,3459,7117,1464,1916,1097,2398,3495,2150,1895,710,1226,394,163,0,8545,97.749222,33,49
DAL,1990,3245,6890,1512,1986,984,2360,3344,1821,1840,581,1186,397,193,0,8195,3346,6945,1700,2296,1116,2489,3605,2025,1778,650,1147,400,178,0,8570,96.411125,28,54
DEN,1990,3901,8868,1726,2263,1520,2530,4050,2005,2235,856,1332,406,300,0,9828,4076,7962,2377,3068,1242,3067,4309,2492,1844,757,1527,525,194,0,10723,116.47991,20,62
DET,1990,3194,6875,1686,2211,1206,2452,3658,1825,1869,487,1181,367,131,0,8205,3053,6743,1674,2173,1002,2274,3276,1736,1987,581,1127,289,157,0,7937,94.567039,50,32
GSW,1990,3566,7346,2162,2761,1113,2306,3419,1954,2207,803,1359,378,270,0,9564,3544,7349,2121,2797,1292,2480,3772,2164,2206,726,1534,437,221,0,9430,106.54318,44,38
HOU,1990,3403,7287,1631,2200,1275,2508,3783,1906,1874,796,1402,409,316,0,8753,3337,7316,1609,2086,1242,2431,3673,1965,1786,711,1415,357,183,0,8466,101.46833,52,30
IND,1990,3450,6994,2010,2479,1018,2376,3394,2181,2088,658,1355,357,249,0,9159,3577,7299,1851,2490,1202,2313,3515,2063,2037,729,1260,353,186,0,9191,101.9852,41,41
LAC,1990,3391,7315,1596,2273,1246,2500,3746,2119,2043,725,1438,507,113,0,8491,3337,7151,1901,2529,1115,2494,3609,1982,1887,773,1316,491,199,0,8774,102.57458,31,51
LAL,1990,3343,6911,1805,2261,1078,2440,3518,2091,1524,642,1203,384,226,0,8717,3354,7262,1278,1700,1131,2187,3318,1998,1823,668,1175,334,178,0,8164,97.213501,58,24
MIA,1990,3280,7139,1649,2307,1232,2302,3534,1904,2080,756,1551,387,140,0,8349,3335,6974,1997,2603,1176,2364,3540,2006,1960,853,1466,502,173,0,8840,102.03379,24,58
MIL,1990,3337,6948,1796,2241,1079,2162,3241,2075,2033,894,1321,330,257,0,8727,3290,6775,1755,2312,1108,2315,3423,2023,1912,704,1531,461,189,0,8524,99.065804,48,34
